    P+   P-        C+   C-  Normalised_Error  Observed_Rho  Calculated_Rho  Observed_Phase  Calculated_Phase  Original_Weight   Final_Weight   C
   15    8        48   55        0.80775         66.361         65.298            5.590            5.172         0.14142E+00    0.14142E+00    0
   15    8        62   69        0.18253         50.963         51.149            3.760            3.474         0.14142E+00    0.14142E+00    0
   15   11        34   38        0.70006         66.545         67.482            3.680            4.363         0.14142E+00    0.14142E+00    0
   15   11        38   42        0.93980         61.007         62.164            4.460            4.093         0.14142E+00    0.14142E+00    0
   15   11        42   46        1.11468         79.278         77.530            4.160            4.227         0.14142E+00    0.14142E+00    0
   15   11        46   50        1.40962         80.665         78.199            4.940            4.676         0.14142E+00    0.14840E+00    1
   15   11        36   40        0.69036         63.622         64.501            2.880            4.315         0.14142E+00    0.14142E+00    0
   15   11        40   44        0.88554         62.662         63.781            5.150            4.287         0.14142E+00    0.14142E+00    0
   15   11        44   48        1.63922         90.646         86.884            6.740            4.370         0.14142E+00    0.16097E+00    1
   15   11        48   52        0.79793         70.386         69.272            5.190            4.953         0.14142E+00    0.14142E+00    0
   15   13        22   24        0.25315         77.175         76.785            3.580            3.559         0.14142E+00    0.14142E+00    0
   15   13        24   26        0.21129         82.738         82.392            3.030            3.609         0.14142E+00    0.14142E+00    0
   15   13        26   28        0.04522         73.843         73.777            3.480            3.625         0.14142E+00    0.14142E+00    0
   15   13        28   30        0.22772         79.802         80.164            3.290            3.716         0.14142E+00    0.14142E+00    0
   15   13        30   32        0.52284         71.733         72.486            3.440            3.896         0.14142E+00    0.14142E+00    0
   15   13        32   34        0.74341         73.147         74.242            4.680            4.349         0.14142E+00    0.14142E+00    0
   15   13        34   36        0.77192         69.216         70.293            4.110            4.149         0.14142E+00    0.14142E+00    0
